,t_delta,n_delta,duration
run1,3.790153654,2.820965923,3.167575386
run2,1.01654227,2.495169385,3.110344587
run3,1.624594583,3.518000259,2.587631742
run4,0.799895241,2.053137245,2.43411868
run5,1.882807649,4.455086422,4.400290617
run6,1.696723109,5.074801758,4.389915299
