type,dropout,middle layers,learning rate,4.0 epochs,8.0 epochs,12.0 epochs,16.0 epochs,20.0 epochs,24.0 epochs,28.0 epochs,32.0 epochs,36.0 epochs,40.0 epochs,44.0 epochs,48.0 epochs,52.0 epochs,56.0 epochs,60.0 epochs,64.0 epochs,68.0 epochs,72.0 epochs,76.0 epochs,80.0 epochs,84.0 epochs,88.0 epochs,92.0 epochs,96.0 epochs,100.0 epochs,104.0 epochs,108.0 epochs,112.0 epochs,116.0 epochs,120.0 epochs,124.0 epochs,128.0 epochs,132.0 epochs,136.0 epochs,140.0 epochs,144.0 epochs,148.0 epochs,152.0 epochs,156.0 epochs,160.0 epochs,164.0 epochs,168.0 epochs,172.0 epochs,176.0 epochs,180.0 epochs,184.0 epochs,188.0 epochs,192.0 epochs,196.0 epochs,200.0 epochs,
validation,0.2,3,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.596209909,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.2,3,0.001,0.592808553,0.597910592,0.597910592,0.597910592,0.59815354,0.598153549,0.598396497,0.598396497,0.598396497,0.59815354,0.59815354,0.59815354,0.598396497,0.59815354,0.59815354,0.598396497,0.59815354,0.59815354,0.59815354,0.598639454,0.598396497,0.598639454,0.598639454,0.598396497,0.598396497,0.59815354,0.598396497,0.598396497,0.598639446,0.598882403,0.598639446,0.599125368,0.599854222,0.59912536,0.599611274,0.601311956,0.602283767,0.600340136,0.601311948,0.603498544,0.599611274,0.603741493,0.605442175,0.609329445,0.607628763,0.608114668,0.611273084,0.606171037,0.608600582,0.611516033,
validation,0.2,3,0.001,0.604956269,0.596209909,0.596209909,0.596209909,0.596209909,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.597667634,0.597667634,0.597667634,0.59912536,0.596209909,0.59912536,0.59912536,0.59912536,0.59912536,0.600583085,0.600583085,0.59912536,0.59912536,0.59912536,0.60204081,0.60204081,0.60204081,0.600583085,0.597667634,0.600583085,0.603498535,0.603498535
training,0.2,3,0.0001,0.533041788,0.534256548,0.53692905,0.534985419,0.545432461,0.552235178,0.5595238,0.568027203,0.576287661,0.581632648,0.587220592,0.586005832,0.591836733,0.593537407,0.594752184,0.595481038,0.594995141,0.596695815,0.595724004,0.596695815,0.597424677,0.596695823,0.597910592,0.5979106,0.598639463,0.597910592,0.597910592,0.598153549,0.597910592,0.597910592,0.597910592,0.598153549,0.597910592,0.597910592,0.597910592,0.598153549,0.5979106,0.597667643,0.598153549,0.598153549,0.598639463,0.598396506,0.597910592,0.597910592,0.598153549,0.598153549,0.597910592,0.597667634,0.597667634,0.597667634,
validation,0.2,3,0.0001,0.533527702,0.526239067,0.530612243,0.539358599,0.564139937,0.569970838,0.584548099,0.583090373,0.596209909,0.591836733,0.594752184,0.590379,0.594752192,0.604956269,0.606413995,0.604956269,0.606413995,0.603498544,0.602040819,0.602040819,0.602040819,0.602040819,0.603498544,0.602040819,0.600583094,0.599125368,0.599125368,0.597667634,0.596209909,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.4,1,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910583,0.597667634,0.597667634,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.59815354,0.598396497,0.598396497,0.59815354,0.59815354,0.598639454,0.59815354,0.597910583,0.597910583,0.597910583,0.598396497,0.597910583,0.597910583,0.597910583,0.59815354,0.59815354,0.598639446,0.59815354,0.597910583,0.598396497,0.598396497,0.59815354,0.59912536,0.598882411,0.598882411,0.601797862,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.598639454,0.598396497,0.598882411,
validation,0.4,1,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.596209909,0.596209909,0.597667634,0.596209909,0.597667634,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.597667634,0.596209909,0.596209909,0.596209909,0.59912536,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.597667634,0.596209909,0.596209909,0.597667634,0.596209909,0.597667634,0.597667634,0.596209909,0.596209909,0.596209909,0.596209909,0.597667634,0.597667634
training,0.4,1,0.001,0.589407189,0.598153532,0.599125351,0.597910583,0.597667626,0.597910583,0.59815354,0.597667634,0.597667634,0.597424677,0.597667634,0.597667634,0.597910583,0.597910583,0.59815354,0.597910583,0.59815354,0.59815354,0.597667634,0.597667634,0.597910583,0.59815354,0.598396497,0.597910583,0.598639446,0.597910583,0.59912536,0.59815354,0.598639446,0.600097179,0.59815354,0.597910583,0.598396497,0.600826042,0.598396497,0.598639446,0.600583085,0.600826042,0.599611265,0.600097179,0.59815354,0.600583085,0.59815354,0.601554905,0.600583085,0.600583085,0.601797853,0.600583085,0.598639446,0.598396497,
validation,0.4,1,0.001,0.590379008,0.594752184,0.594752184,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.597667634,0.597667634,0.600583085,0.597667634,0.597667634,0.600583085,0.600583085,0.597667634,0.59912536,0.597667634,0.59912536,0.597667634,0.59912536,0.59912536,0.59912536,0.600583085,0.59912536,0.59912536,0.59912536,0.59912536
training,0.4,1,0.0001,0.554664714,0.567784246,0.565597662,0.562196306,0.5595238,0.564382898,0.564625846,0.56729834,0.578231284,0.588192412,0.587220609,0.591836725,0.594509227,0.594752184,0.598153549,0.596209918,0.597424677,0.59718172,0.597181729,0.597667634,0.59718172,0.595966961,0.595238098,0.595966952,0.596695823,0.597181729,0.5979106,0.597424686,0.598153549,0.598396497,0.598882411,0.598882411,0.598882411,0.598396497,0.598639454,0.598639454,0.598639454,0.598639454,0.598396497,0.59815354,0.597910592,0.59815354,0.59815354,0.598396497,0.598153549,0.598396497,0.598396497,0.598396497,0.59815354,0.59815354,
validation,0.4,1,0.0001,0.533527685,0.534985419,0.561224478,0.546647225,0.55393586,0.548104946,0.540816324,0.551020401,0.562682211,0.574344022,0.578717206,0.583090373,0.586005824,0.590379008,0.588921283,0.593294459,0.596209918,0.594752184,0.596209909,0.596209909,0.59912536,0.596209909,0.596209909,0.597667634,0.594752184,0.597667634,0.597667634,0.59912536,0.59912536,0.59912536,0.59912536,0.59912536,0.59912536,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.4,2,0.01,0.597910592,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597667634,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.598396497,0.597910583,0.59815354,0.59815354,0.597910583,0.598396497,0.598396497,0.59815354,0.59815354,0.59815354,0.598396497,0.598882403,0.599611274,0.597910583,0.597910583,0.59815354,0.59815354,0.598882403,0.59815354,0.59815354,0.59815354,0.59815354,0.598396489,0.59815354,0.598153532,0.597910583,0.597910583,0.597910583,0.59815354,0.598396489,0.598153532,0.598153532,0.59815354,0.598396489,0.598396489,
validation,0.4,2,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.600583085,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.600583085,0.59912536,0.597667634,0.597667634,0.597667634,0.597667634,0.600583085,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.4,2,0.001,0.589164223,0.598153549,0.59815354,0.598639446,0.59815354,0.598153532,0.598396489,0.59815354,0.597667634,0.597667634,0.597667634,0.597910592,0.597667634,0.597667634,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910583,0.597910583,
validation,0.4,2,0.001,0.597667634,0.597667634,0.59912536,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.4,2,0.0001,0.481535473,0.542274054,0.564139945,0.577259481,0.582604459,0.585519918,0.587463549,0.588921283,0.591350819,0.586977635,0.588192412,0.587949455,0.593051502,0.594509227,0.596452858,0.595966961,0.597910583,0.597667626,0.597424677,0.598882403,0.598882403,0.59815354,0.59718172,0.597424677,0.596938772,0.597910583,0.597910583,0.597424677,0.59718172,0.597667626,0.597424669,0.59718172,0.596695815,0.596938763,0.59718172,0.59718172,0.59718172,0.597424677,0.597667634,0.597667634,0.597667634,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597667634,0.597910592,0.597910583,0.597910583,
validation,0.4,2,0.0001,0.483965009,0.543731775,0.572886288,0.555393585,0.564139949,0.577259481,0.575801756,0.575801756,0.569970846,0.575801747,0.584548099,0.581632648,0.591836742,0.588921283,0.590379008,0.593294459,0.591836742,0.593294459,0.590379008,0.591836733,0.594752184,0.597667634,0.597667634,0.59912536,0.602040819,0.600583094,0.600583094,0.600583094,0.59912536,0.597667634,0.597667634,0.597667634,0.596209909,0.597667634,0.596209909,0.596209909,0.596209909,0.596209909,0.594752184,0.594752184,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909
training,0.4,3,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910592,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,
validation,0.4,3,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.4,3,0.001,0.586734687,0.598639446,0.598882403,0.59815354,0.597910592,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597667634,0.597667634,
validation,0.4,3,0.001,0.591836733,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.4,3,0.0001,0.520408166,0.525996106,0.535957243,0.554664718,0.568027207,0.586977652,0.588921283,0.59329445,0.593051493,0.591836725,0.594023313,0.592565588,0.595966944,0.595723995,0.596938772,0.596209909,0.595966952,0.596209909,0.596695815,0.596938772,0.597181729,0.597181729,0.597424686,0.597181729,0.597181729,0.597910592,0.597910592,0.597910592,0.597910592,0.598153549,0.598153549,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.598153549,0.598153549,0.598153549,0.598153549,0.598153549,0.597910592,0.597910592,0.597910592,0.598153549,0.597910592,0.597667634,0.597667634,0.597667634,0.597667634,
validation,0.4,3,0.0001,0.501457717,0.511661802,0.520408154,0.53644314,0.552478122,0.565597662,0.569970846,0.580174923,0.580174923,0.577259472,0.587463549,0.587463549,0.588921274,0.591836733,0.591836725,0.59329445,0.59329445,0.594752184,0.594752184,0.594752184,0.594752184,0.594752184,0.594752184,0.594752184,0.594752184,0.594752184,0.594752184,0.594752184,0.594752184,0.594752184,0.596209909,0.596209909,0.596209909,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
