type,dropout,middle layers,learning rate,4.0 epochs,8.0 epochs,12.0 epochs,16.0 epochs,20.0 epochs,24.0 epochs,28.0 epochs,32.0 epochs,36.0 epochs,40.0 epochs,44.0 epochs,48.0 epochs,52.0 epochs,56.0 epochs,60.0 epochs,64.0 epochs,68.0 epochs,72.0 epochs,76.0 epochs,80.0 epochs,84.0 epochs,88.0 epochs,92.0 epochs,96.0 epochs,100.0 epochs,104.0 epochs,108.0 epochs,112.0 epochs,116.0 epochs,120.0 epochs,124.0 epochs,128.0 epochs,132.0 epochs,136.0 epochs,140.0 epochs,144.0 epochs,148.0 epochs,152.0 epochs,156.0 epochs,160.0 epochs,164.0 epochs,168.0 epochs,172.0 epochs,176.0 epochs,180.0 epochs,184.0 epochs,188.0 epochs,192.0 epochs,196.0 epochs,200.0 epochs,
training,0,2,0.0001,0.558066083,0.553935856,0.567055391,0.594509218,0.604956269,0.610544222,0.613216715,0.616132183,0.615403303,0.616861028,0.624392612,0.62949465,0.630466478,0.632896015,0.63435374,0.635082603,0.64407192,0.649173958,0.648445095,0.652089417,0.655976687,0.656462584,0.662050537,0.661321674,0.661321683,0.662536442,0.668853249,0.671525751,0.670553931,0.674441201,0.67468415,0.676141875,0.67565597,0.681243922,0.681729836,0.693391638,0.689990274,0.690962102,0.692662784,0.696793003,0.698979591,0.700437307,0.701895041,0.704081629,0.706997088,0.714042766,0.70869777,0.714285723,0.714285723,0.719387753,
validation,0,2,0.0001,0.543731783,0.553935864,0.571428576,0.575801747,0.586005832,0.574344022,0.577259472,0.580174931,0.581632657,0.588921283,0.591836742,0.584548107,0.591836733,0.584548107,0.587463558,0.588921283,0.596209918,0.58309039,0.587463549,0.588921283,0.590379008,0.597667634,0.591836733,0.596209909,0.60204081,0.59912536,0.602040819,0.600583094,0.600583094,0.602040819,0.602040819,0.604956269,0.61078717,0.606413995,0.604956269,0.604956269,0.615160355,0.606413995,0.606413995,0.613702629,0.603498544,0.607871728,0.612244904,0.61661808,0.602040819,0.607871728,0.603498544,0.609329454,0.61661808,0.613702629,0.613702629
training,0,3,0.01,0.598396497,0.599125351,0.60811466,0.614188526,0.61491738,0.617832839,0.598396497,0.617103985,0.625121466,0.634839645,0.644071903,0.633867834,0.642128272,0.633624877,0.652575314,0.618561702,0.643586005,0.649173958,0.645772593,0.656219627,0.63921283,0.646501456,0.661564623,0.671768708,0.67954324,0.663265305,0.661078717,0.677599617,0.666180755,0.684888235,0.686588917,0.669339163,0.695335277,0.680272102,0.687803694,0.662293477,0.669825069,0.678814386,0.674441193,0.690962093,0.669096206,0.672740528,0.670068026,0.69120505,0.67954324,0.688532548,0.702623904,0.686345977,0.690962102,0.659863949,
validation,0,3,0.01,0.599125368,0.597667634,0.604956269,0.602040819,0.610787179,0.622448981,0.590379017,0.606413995,0.604956269,0.622448972,0.625364431,0.60787172,0.613702621,0.618075805,0.623906715,0.612244904,0.625364431,0.623906706,0.620991256,0.61953353,0.625364431,0.618075805,0.618075805,0.632653066,0.631195341,0.635568517,0.615160355,0.61953353,0.631195332,0.626822165,0.618075805,0.619533539,0.632653058,0.623906706,0.62536444,0.625364431,0.622448981,0.61661808,0.623906706,0.618075805,0.618075805,0.635568508,0.637026233,0.620991256,0.625364431,0.61953353,0.637026233,0.616618071,0.631195332,0.622448972,0.622448972
training,0,3,0.001,0.612244887,0.622691929,0.633867834,0.654518953,0.658649181,0.68343051,0.692419827,0.689990291,0.724489791,0.725704568,0.763605433,0.751214768,0.768221574,0.773809527,0.766277943,0.801020401,0.822643348,0.814382894,0.828231284,0.840864914,0.848396514,0.83017494,0.876336242,0.872448981,0.872448981,0.894314877,0.899173949,0.905247816,0.923226433,0.907434412,0.912779408,0.914965979,0.91666667,0.924927107,0.935860055,0.946307089,0.939018471,0.951652093,0.949222539,0.947035951,0.966229354,0.95966959,0.973032066,0.954324586,0.948979591,0.959912547,0.968415942,0.959183676,0.951166187,0.967444122,
validation,0,3,0.001,0.597667634,0.60787172,0.61078717,0.616618071,0.620991247,0.606413995,0.61953353,0.625364431,0.61953353,0.622448981,0.626822148,0.622448981,0.625364431,0.618075797,0.629737616,0.635568517,0.628279873,0.609329437,0.625364423,0.615160346,0.623906706,0.618075788,0.604956269,0.629737607,0.623906706,0.609329454,0.600583102,0.629737607,0.618075797,0.60787172,0.610787162,0.626822174,0.61953353,0.620991247,0.622448981,0.615160355,0.623906698,0.603498544,0.620991256,0.609329445,0.612244896,0.604956269,0.599125368,0.600583094,0.618075797,0.61078717,0.597667634,0.588921283,0.60787172,0.59912536,0.59912536
training,0,3,0.0001,0.588921283,0.598396497,0.595238081,0.600340119,0.60592808,0.610544213,0.615160346,0.614431492,0.617346934,0.619533522,0.620262384,0.62172011,0.625364423,0.625364431,0.6265792,0.632653058,0.633867826,0.63435374,0.633624886,0.641156461,0.642614186,0.642614194,0.645529645,0.649902829,0.64795919,0.652332366,0.65306122,0.657434412,0.658163275,0.662050537,0.662779408,0.666180755,0.665937815,0.665937807,0.670311,0.673226442,0.672983485,0.675898935,0.676870755,0.677356643,0.683673467,0.688046643,0.688289608,0.687560746,0.692905741,0.692905733,0.694120501,0.698736634,0.706268217,0.701409136,
validation,0,3,0.0001,0.593294459,0.59912536,0.569970846,0.577259472,0.584548099,0.588921283,0.591836733,0.591836733,0.594752184,0.597667634,0.597667634,0.600583085,0.600583085,0.60204081,0.603498535,0.60204081,0.603498535,0.60204081,0.600583085,0.604956269,0.606413995,0.604956269,0.604956269,0.606414003,0.603498544,0.609329454,0.607871728,0.603498553,0.606414003,0.604956269,0.607871728,0.604956278,0.606414003,0.607871728,0.609329454,0.604956278,0.603498544,0.607871728,0.604956269,0.606413995,0.61078717,0.610787179,0.604956269,0.610787179,0.61661808,0.615160355,0.618075805,0.620991256,0.623906706,0.618075805,0.618075805
training,0.2,1,0.01,0.597910583,0.597910583,0.597910583,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.598153549,0.598396497,0.598639454,0.598882411,0.59912536,0.599854231,0.599854222,0.6068999,0.600340136,0.600097179,0.604713312,0.604470355,0.610058299,0.607142849,0.616618071,0.61175899,0.613459672,0.610787162,0.608843539,0.617589891,0.612973758,0.61467444,0.615160346,0.6068999,0.611030127,0.615889209,0.61467444,0.624878517,0.608843539,0.612973758,0.613945578,0.62172011,0.62172011,0.621477153,0.620748299,0.625850337,0.611273076,0.612244896,0.613216707,0.612001938,
validation,0.2,1,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.597667634,0.59912536,0.596209909,0.59912536,0.60204081,0.60204081,0.60204081,0.603498535,0.604956261,0.60204081,0.600583085,0.60204081,0.60204081,0.604956261,0.60204081,0.604956261,0.600583085,0.597667634,0.597667634,0.603498535,0.604956261,0.597667634,0.609329437,0.60204081,0.616618063,0.607871711,0.609329437,0.603498535,0.59912536,0.596209909,0.59912536,0.59912536
training,0.2,1,0.001,0.567298353,0.594509218,0.600826042,0.600826042,0.600097179,0.600826051,0.601311956,0.600097179,0.600583085,0.601068999,0.600583094,0.600583102,0.600097179,0.599854222,0.599854222,0.600097179,0.600340128,0.600583094,0.601311956,0.602040819,0.602526724,0.60301263,0.601068999,0.603255587,0.603012638,0.603498544,0.603012638,0.603741493,0.605199226,0.603741493,0.604713321,0.604227398,0.605199218,0.604956278,0.606171046,0.611273093,0.61151605,0.608843539,0.612244913,0.615889209,0.61540332,0.61540332,0.619047625,0.619047616,0.624149672,0.62439262,0.624878526,0.624392603,0.632167152,0.625607388,
