type,dropout,middle layers,learning rate,10.0 epochs,20.0 epochs,30.0 epochs,40.0 epochs,50.0 epochs,60.0 epochs,70.0 epochs,80.0 epochs,90.0 epochs,100.0 epochs,110.0 epochs,120.0 epochs,130.0 epochs,140.0 epochs,150.0 epochs,160.0 epochs,170.0 epochs,180.0 epochs,190.0 epochs,200.0 epochs,210.0 epochs,220.0 epochs,230.0 epochs,240.0 epochs,250.0 epochs,260.0 epochs,270.0 epochs,280.0 epochs,290.0 epochs,300.0 epochs,310.0 epochs,320.0 epochs,330.0 epochs,340.0 epochs,350.0 epochs,360.0 epochs,370.0 epochs,380.0 epochs,390.0 epochs,400.0 epochs,410.0 epochs,420.0 epochs,430.0 epochs,440.0 epochs,450.0 epochs,460.0 epochs,470.0 epochs,480.0 epochs,490.0 epochs,500.0 epochs
training,0,2,0.001,0.628522839,0.648445087,0.681243922,0.692662784,0.71574344,0.762633622,0.797133139,0.816326533,0.839650137,0.859815351,0.881438289,0.890913512,0.907434404,0.904518953,0.93343051,0.945578235,0.929786188,0.950923221,0.940233231,0.969144796,0.970602521,0.961856169,0.979105932,0.982750246,0.956025277,0.989310009,0.978862975,0.990524786,0.982750246,0.993440236,0.993197271,0.993926133,0.957240037,0.990524777,0.987852275,0.995869773,0.993926142,0.997327498,0.996841592,0.982750246,0.954324586,0.984936825,0.980806615,0.995626816,0.997084549,0.996598635,0.989795915,0.996841592,0.997570455,0.997570455
validation,0,2,0.001,0.587463566,0.606413995,0.613702621,0.612244896,0.603498535,0.609329454,0.622448972,0.626822157,0.61953353,0.635568508,0.632653058,0.639941692,0.628279882,0.635568508,0.626822165,0.620991247,0.620991247,0.61661808,0.619533522,0.628279873,0.628279882,0.639941692,0.637026233,0.637026233,0.615160346,0.638483959,0.626822148,0.635568508,0.623906715,0.626822157,0.628279873,0.629737607,0.632653058,0.625364431,0.625364423,0.628279882,0.632653058,0.629737599,0.631195332,0.619533522,0.616618071,0.637026233,0.626822157,0.631195324,0.638483959,0.628279882,0.632653058,0.635568508,0.641399409,0.631195332
training,0,3,0.01,0.612001938,0.613459664,0.6068999,0.628036925,0.627308054,0.659378035,0.640670555,0.676870746,0.686588917,0.707968908,0.709669573,0.702380955,0.715986405,0.73639455,0.747084549,0.728134096,0.732021383,0.754859081,0.766277935,0.758017489,0.769922256,0.786443148,0.765549072,0.767006789,0.75874636,0.788386779,0.781098153,0.792031092,0.789601547,0.790573367,0.798590864,0.806608353,0.803935851,0.802964032,0.814382902,0.821671511,0.828717198,0.810981538,0.828474241,0.826044704,0.846938755,0.852283767,0.844752175,0.833576296,0.844752184,0.841836725,0.870262393,0.846695815,0.838678334,0.846938772
validation,0,3,0.01,0.594752175,0.596209909,0.60204081,0.604956261,0.600583085,0.607871711,0.61953353,0.618075805,0.587463558,0.626822148,0.615160355,0.623906706,0.594752192,0.618075797,0.635568508,0.623906706,0.632653058,0.60204081,0.62536444,0.623906706,0.61661808,0.638483959,0.622448981,0.628279882,0.620991256,0.620991256,0.612244896,0.606413986,0.629737607,0.625364431,0.629737607,0.613702629,0.613702621,0.619533539,0.623906706,0.620991264,0.619533522,0.625364431,0.623906715,0.623906706,0.615160346,0.626822148,0.629737616,0.615160346,0.620991264,0.612244896,0.62536444,0.613702621,0.622448989,0.625364431
training,0,3,0.001,0.624635569,0.660349846,0.706025268,0.73517979,0.74878524,0.756559772,0.79883383,0.831632648,0.833576288,0.857142849,0.88435374,0.891642366,0.921525751,0.916909627,0.943391638,0.922011665,0.958454822,0.965257517,0.963313903,0.962585023,0.980563649,0.98517979,0.965743448,0.988095241,0.994897962,0.990281829,0.956511165,0.97740525,0.990524786,0.997084549,0.997570455,0.984207971,0.986880464,0.996355687,0.998056369,0.999271137,0.998299318,0.998542266,0.999271137,0.997813412,0.999514094,0.999514094,0.999757043,0.999514086,0.994412048,0.999757043,0.999757043,1,0.973275023,0.993683185
validation,0,3,0.001,0.60787172,0.602040819,0.620991256,0.623906706,0.619533522,0.622448981,0.634110791,0.620991247,0.613702638,0.619533522,0.61078717,0.631195332,0.618075805,0.626822157,0.632653058,0.613702629,0.61953353,0.626822157,0.620991256,0.612244896,0.623906706,0.616618071,0.619533522,0.613702629,0.615160355,0.616618071,0.615160346,0.61078717,0.618075797,0.625364431,0.61078717,0.612244896,0.593294459,0.612244896,0.609329445,0.604956261,0.61078717,0.61661808,0.607871728,0.607871711,0.606413995,0.609329437,0.613702621,0.609329437,0.613702629,0.613702621,0.616618071,0.615160346,0.612244896,0.615160346
training,0,3,0.001,0.634596697,0.659378035,0.70383868,0.744169099,0.774052484,0.802235169,0.848639463,0.845724004,0.874635577,0.86467444,0.934888252,0.920553931,0.945821183,0.962099118,0.966229337,0.979105941,0.968901847,0.97837707,0.948493677,0.973760937,0.989552958,0.99125364,0.990767734,0.990767734,0.991010691,0.992954322,0.986880464,0.997570447,0.999757043,0.995869773,0.963070946,0.998542275,0.988095241,0.998785232,0.993926142,1,1,1,0.999757043,1,1,1,1,1,1,1,1,1,1,1
validation,0,3,0.001,0.600583085,0.61078717,0.626822157,0.613702629,0.61953353,0.638483967,0.613702621,0.628279882,0.599125368,0.62536444,0.609329437,0.629737616,0.606413995,0.612244896,0.600583085,0.600583085,0.599125377,0.612244904,0.606413986,0.604956278,0.603498553,0.612244913,0.62536444,0.622448981,0.613702629,0.602040819,0.615160355,0.60204081,0.604956269,0.600583094,0.620991264,0.604956269,0.606414003,0.606414003,0.606414012,0.609329462,0.612244913,0.610787179,0.610787187,0.609329462,0.607871728,0.609329462,0.609329454,0.609329454,0.609329454,0.606414003,0.609329462,0.610787179,0.610787187,0.609329462
training,0.2,1,0.01,0.597667634,0.598153549,0.598153549,0.598396506,0.598396506,0.598396506,0.598396506,0.598639463,0.598639463,0.598639463,0.598396506,0.598396506,0.598396506,0.598396506,0.598639463,0.598639463,0.598639463,0.598639463,0.601068999,0.600583094,0.601554913,0.599368325,0.598882411,0.60398445,0.602040819,0.600340136,0.605199226,0.605199226,0.60398445,0.600097188,0.604713312,0.600340136,0.607628771,0.606413995,0.611030127,0.608600582,0.601068999,0.608600582,0.605442183,0.60787172,0.603255587,0.61564626,0.605199226,0.612244904,0.609086496,0.616861028,0.614431492,0.604956269,0.617832848,0.609086496
validation,0.2,1,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.596209909,0.596209909,0.594752184,0.597667634,0.597667634,0.59912536,0.596209909,0.597667634,0.60204081,0.600583085,0.594752184,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.59912536,0.59912536,0.597667634,0.59912536,0.597667634,0.600583085,0.600583085,0.594752184,0.600583085,0.59912536,0.60204081,0.600583085,0.596209909,0.59912536,0.597667634,0.603498535
training,0.2,1,0.001,0.599368317,0.599854222,0.600340136,0.600340128,0.600583085,0.602040819,0.603498544,0.604227407,0.608114677,0.608114685,0.609329454,0.610058316,0.613945569,0.613702629,0.618804659,0.623420792,0.622934886,0.628765787,0.631681255,0.640913504,0.642371246,0.651603494,0.652575314,0.655490756,0.662293485,0.666180755,0.661564623,0.67468415,0.675655978,0.684159373,0.691690964,0.698979599,0.699465496,0.706511174,0.716715259,0.717930027,0.724246843,0.722060255,0.735179782,0.729834786,0.750728863,0.757288626,0.744412048,0.752672502,0.750485906,0.772594741,0.766034995,0.769436334,0.78231293,0.789358599
validation,0.2,1,0.001,0.597667634,0.597667634,0.597667634,0.596209909,0.597667634,0.600583085,0.600583094,0.600583094,0.604956278,0.600583085,0.60204081,0.602040819,0.604956269,0.600583094,0.609329445,0.610787179,0.612244896,0.615160346,0.616618071,0.619533522,0.619533522,0.619533522,0.619533522,0.622448981,0.615160346,0.616618071,0.618075797,0.619533522,0.609329445,0.622448972,0.615160346,0.623906698,0.629737607,0.615160346,0.61953353,0.600583085,0.626822148,0.620991247,0.609329437,0.618075797,0.618075797,0.61078717,0.604956269,0.606413995,0.606413995,0.604956269,0.60787172,0.609329445,0.610787179,0.60787172
