,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Pitch_Class_Variability_After_Folding,Pitch_Skewness,Pitch_Class_Skewness,Pitch_Class_Skewness_After_Folding,Pitch_Kurtosis,Pitch_Class_Kurtosis,Pitch_Class_Kurtosis_After_Folding,Major_or_Minor,First_Pitch,First_Pitch_Class,Last_Pitch,Last_Pitch_Class,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Simple_Initial_Meter,Compound_Initial_Meter,Complex_Initial_Meter,Duple_Initial_Meter,Triple_Initial_Meter,Quadruple_Initial_Meter,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Note_Density_per_Quarter_Note_per_Voice,Note_Density_per_Quarter_Note_Variability,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Number_of_Common_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Mean_Rhythmic_Value,Most_Common_Rhythmic_Value,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Rhythmic_Value_Skewness,Rhythmic_Value_Kurtosis,Mean_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Run_Length,Variability_in_Rhythmic_Value_Run_Lengths,Mean_Rhythmic_Value_Offset,Median_Rhythmic_Value_Offset,Variability_of_Rhythmic_Value_Offsets,Complete_Rests_Fraction,Partial_Rests_Fraction,Average_Rest_Fraction_Across_Voices,Longest_Complete_Rest,Longest_Partial_Rest,Mean_Complete_Rest_Duration,Mean_Partial_Rest_Duration,Median_Complete_Rest_Duration,Median_Partial_Rest_Duration,Variability_of_Complete_Rest_Durations,Variability_of_Partial_Rest_Durations,Variability_Across_Voices_of_Combined_Rests,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Looseness_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Variability_of_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Variability_of_Note_Durations,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Rhythmic_Variability,Rhythmic_Looseness,Polyrhythms
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_81.mid",5.0, 4.0, 3.0, 2.0, 38.0, 0.52, 0.48, 0.0, 1.0, 2.0, 51.0, 6.8, 69.0, 9.0, 0.38, 0.64, 0.6842, 0.4062, 36.0, 9.0, 17.6, 4.096, 2.339, 2.591, -1.611, -0.3591, 4.326, 5.609, 10.28, 0.0, 33.0, 9.0, 70.0, 10.0, 36.0, 32.1, 2.0, 3.0, 0.4082, 0.8, 0.08163, 0.04082, 0.0, 0.0, 0.04082, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9184, 0.0, 0.0, 0.4894, 1.068, 34.91, 3.238, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 2.632, 2.632, 0.02649, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.1775, 0.125, 0.58, 1.0, 0.0, 0.06232, 2.527, 4.417, 1.316, 1.0, 0.7391, 0.04417, 0.04167, 0.02716, 0.4167, 0.4167, 0.4167, 0.5833, 0.5833, 0.2633, 0.2633, 0.3333, 0.3333, 0.1067, 0.1067, 0.0, 5.0, 10.0, 10.0, 80.0, 40.0, 2.0, 0.1356, 0.1153, 1.176, 0.2508, 0.02467, 0.0, 0.3, 130.0, 130.0, 1.481E-11, 8.769, 5.702, 0.3564, 0.1731, 0.1731, 0.06286, 0.06286, 0.07692, 0.1538, 0.1023, 0.03261, 0.58, 5.0, 11.0, 11.0, 87.0, 44.0, 1.977, 0.1254, 0.1066, 1.176, 0.232, 0.02346, 0.0, 0.1818
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_82.mid",7.0, 6.0, 5.0, 1.0, 22.0, 0.2, 0.56, 0.24, 3.0, 2.0, 65.0, 4.88, 64.0, 4.0, 0.28, 0.48, 0.7143, 0.25, 12.0, 3.0, 7.618, 3.028, 1.714, -1.04, 0.8719, 0.7, 5.781, 5.801, 6.316, 0.0, 52.0, 4.0, 73.0, 1.0, 12.0, 5.408, 6.0, 8.0, 0.3061, 0.5333, 0.6531, 0.1429, 0.102, 0.2245, 0.2041, 0.1224, 0.0, 0.0, 0.0, 0.0, 0.3061, 0.0, 0.25, 0.0, 0.5238, 1.448, 9.103, 3.814, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 2.139, 2.139, 0.1701, 2.0, 3.0, 2.0, 0.76, 0.92, 0.24, 0.0, 0.0, 0.08, 0.25, 0.75, 0.33, 0.25, 0.76, 0.2105, 1.0, 0.1552, 1.547, 8.471, 2.632, 1.0, 4.81, 0.01, 0.0, 0.03426, 0.3155, 0.3155, 0.3155, 0.375, 0.375, 0.2458, 0.2458, 0.25, 0.25, 0.03998, 0.03998, 0.0, 3.0, 19.0, 10.0, 60.0, 120.0, 2.0, 0.1151, 0.1111, 1.036, 0.2262, 0.02125, 0.0, 0.2, 100.0, 100.0, 0.0, 14.03, 3.565, 0.3041, 0.2736, 0.2736, 0.07342, 0.07342, 0.15, 0.375, 0.192, 0.0775, 0.0, 5.0, 17.0, 9.0, 197.0, 50.0, 3.94, 0.1429, 0.1218, 1.172, 0.2647, 0.0233, 0.0, 0.1111
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_83.mid",17.0, 9.0, 3.0, 1.0, 31.0, 0.2, 0.3, 0.5, 2.0, 1.0, 68.0, 4.54, 52.0, 4.0, 0.18, 0.48, 0.8889, 0.2083, 24.0, 3.0, 10.03, 2.682, 1.97, -1.382, 0.6041, 0.6396, 5.35, 6.802, 6.392, 0.0, 55.0, 7.0, 64.0, 4.0, 2.0, 8.184, 3.0, 10.0, 0.2449, 0.8333, 0.5306, 0.08163, 0.04082, 0.2857, 0.1837, 0.02041, 0.0, 0.02041, 0.02041, 0.02041, 0.2041, 0.1633, 2.0, 0.0, 0.4889, 1.8, 15.56, 3.75, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 2.139, 2.139, 0.2949, 2.0, 3.0, 2.0, 0.72, 0.96, 0.28, 0.0, 0.0, 0.04, 0.25, 0.75, 0.33, 0.25, 0.72, 0.3333, 1.0, 0.1378, 1.742, 7.914, 2.778, 1.0, 3.474, 0.01, 0.0, 0.03426, 0.3155, 0.3155, 0.3155, 0.625, 0.625, 0.2731, 0.2731, 0.25, 0.25, 0.1042, 0.1042, 0.0, 1.0, 20.0, 12.0, 120.0, 80.0, 1.5, 0.112, 0.09544, 1.174, 0.2075, 0.01938, 0.0, 0.3333, 100.0, 100.0, 0.0, 14.03, 3.565, 0.6097, 0.2782, 0.2782, 0.08422, 0.08422, 0.15, 0.375, 0.192, 0.07133, 0.0, 3.0, 17.0, 9.0, 197.0, 100.0, 1.97, 0.1485, 0.1179, 1.259, 0.2664, 0.02194, 0.0, 0.1111
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_84.mid",2.0, 2.0, 1.0, 1.0, 29.0, 0.08, 0.0, 0.92, 1.0, 1.0, 72.0, 3.56, 75.0, 3.0, 0.92, 0.92, 0.08696, 0.08696, 29.0, 7.0, 7.947, 1.918, 0.274, -0.8758, 0.8758, 0.8758, 14.92, 14.92, 14.92, 0.0, 75.0, 3.0, 75.0, 3.0, 0.0, 4.735, 2.0, 29.0, 0.8367, 0.1951, 0.8367, 0.8367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1633, 0.0, 0.0, 0.5, 1.143, 29.0, 1.833, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 3.243, 3.243, 0.09703, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.135, 0.125, 0.92, 1.0, 0.0, 0.03426, 0.8758, 14.92, 5.556, 3.0, 5.199, 0.03833, 0.04167, 0.01142, 0.4378, 0.4378, 0.4378, 0.3333, 0.3333, 0.3056, 0.3056, 0.3333, 0.3333, 0.04103, 0.04103, 0.0, 3.0, 10.0, 10.0, 80.0, 120.0, 1.5, 0.1108, 0.1108, 1.0, 0.2216, 0.02426, 0.0, 0.3, 165.0, 165.0, 3.184E-12, 5.606, 8.919, 6.364, 0.1117, 0.1117, 0.0395, 0.0395, 0.06061, 0.09091, 0.06303, 0.008304, 1.0, 0.0, 13.0, 13.0, 110.0, 165.0, 1.5, 0.08725, 0.08725, 1.0, 0.1745, 0.0211, 0.0, 0.1538
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_85.mid",7.0, 5.0, 1.0, 1.0, 36.0, 0.06, 0.02, 0.92, 2.0, 1.0, 73.0, 4.04, 75.0, 3.0, 0.8, 0.8, 0.075, 0.125, 29.0, 7.0, 7.241, 2.285, 1.695, -0.5634, 1.365, -0.2832, 17.95, 8.907, 24.48, 0.0, 75.0, 3.0, 75.0, 3.0, 0.0, 4.204, 2.0, 29.0, 0.6735, 0.1818, 0.7143, 0.6735, 0.02041, 0.102, 0.04082, 0.06122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1224, 0.0, 0.0, 0.5625, 1.778, 19.67, 1.977, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.899, 1.899, 1.418, 8.0, 5.0, 1.0, 0.86, 0.94, 0.08, 0.06, 0.0, 0.02, 0.125, 4.0, 0.375, 0.125, 0.8, 1.0, 0.0, 0.8545, 0.8777, 20.19, 3.125, 2.0, 3.649, 0.03883, 0.04167, 0.03406, 0.2161, 0.2161, 0.2161, 0.3333, 0.3333, 0.3, 0.3, 0.3333, 0.3333, 0.04303, 0.04303, 0.0, 3.0, 13.0, 10.0, 120.0, 80.0, 1.5, 0.112, 0.1081, 1.036, 0.2201, 0.02226, 0.0, 0.3, 165.0, 165.0, 1.623E-11, 9.576, 5.222, 2.852, 0.1921, 0.1921, 0.3176, 0.3176, 0.06061, 1.545, 0.1501, 0.3152, 0.86, 0.0, 13.0, 13.0, 165.0, 110.0, 1.5, 0.09355, 0.09032, 1.036, 0.1839, 0.01952, 0.0, 0.1538
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_86.mid",16.0, 9.0, 1.0, 1.0, 39.0, 0.78, 0.1, 0.12, 1.0, 2.0, 50.0, 6.38, 43.0, 7.0, 0.5, 0.56, 0.16, 0.2143, 3.0, 3.0, 12.49, 2.732, 3.67, 1.811, -0.6808, 1.749, 6.524, 7.079, 6.305, 0.0, 45.0, 9.0, 75.0, 3.0, 0.0, 4.449, 5.0, 3.0, 0.2653, 0.7692, 0.5102, 0.2653, 0.1224, 0.2653, 0.2041, 0.1224, 0.0, 0.0, 0.04082, 0.04082, 0.0, 0.06122, 0.0, 0.02, 0.5556, 1.286, 7.5, 1.848, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.923, 1.923, 1.872, 10.0, 6.0, 2.0, 0.92, 0.94, 0.04, 0.04, 0.02, 0.02, 0.125, 8.0, 0.46, 0.25, 0.52, 0.7692, 1.0, 1.228, 0.5131, 37.62, 1.724, 1.0, 1.667, 0.02833, 0.0, 0.07263, 0.07051, 0.07051, 0.07051, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 159.0, 120.0, 1.325, 0.122, 0.1159, 1.053, 0.2378, 0.02442, 0.0, 0.2, 110.0, 110.0, 1.521E-11, 14.18, 3.526, 2.884, 0.2838, 0.2838, 0.6953, 0.6953, 0.06818, 4.295, 0.2636, 0.676, 0.4, 6.0, 9.0, 9.0, 146.0, 110.0, 1.327, 0.1329, 0.1262, 1.053, 0.2591, 0.02579, 0.0, 0.2222
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_87.mid",20.0, 9.0, 2.0, 1.0, 31.0, 0.0, 0.64, 0.36, 6.0, 3.0, 68.0, 4.88, 60.0, 0.0, 0.1, 0.22, 1.0, 0.7273, 2.0, 10.0, 9.84, 3.734, 4.383, 1.134, -0.09641, 1.122, 4.981, 4.879, 4.725, 0.0, 77.0, 5.0, 67.0, 7.0, 2.0, 2.245, 3.0, 1.0, 0.4898, 0.4583, 0.2449, 0.04082, 0.2245, 0.7143, 0.1837, 0.02041, 0.0, 0.02041, 0.02041, 0.0, 0.0, 0.0, 2.0, 0.12, 0.6383, 1.958, 4.417, 4.133, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.98, 1.98, 0.9499, 10.0, 6.0, 2.0, 0.7, 0.88, 0.28, 0.1, 0.02, 0.02, 0.125, 8.0, 0.5225, 0.125, 0.62, 1.0, 0.0, 1.194, 0.9985, 38.86, 2.778, 1.0, 5.642, 0.0275, 0.0, 0.07271, 0.009901, 0.009901, 0.009901, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 20.0, 15.0, 120.0, 159.0, 1.325, 0.08591, 0.08247, 1.042, 0.1684, 0.01831, 0.0, 0.2, 110.0, 110.0, 1.48E-11, 13.77, 3.63, 2.741, 0.2768, 0.2768, 0.6265, 0.6265, 0.06818, 4.159, 0.2727, 0.6205, 0.62, 0.0, 18.0, 15.0, 110.0, 146.0, 1.327, 0.08803, 0.08451, 1.042, 0.1725, 0.01876, 0.0, 0.2
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_88.mid",12.0, 9.0, 5.0, 2.0, 22.0, 0.0, 0.2, 0.8, 3.0, 2.0, 76.0, 5.96, 74.0, 2.0, 0.2, 0.26, 0.9, 0.7692, 4.0, 7.0, 4.899, 2.983, 2.626, -1.053, -0.04023, 0.9138, 6.212, 5.069, 6.67, 0.0, 86.0, 2.0, 74.0, 2.0, 0.0, 2.735, 3.0, 1.0, 0.3061, 0.6, 0.551, 0.3061, 0.1837, 0.2857, 0.1633, 0.08163, 0.0, 0.08163, 0.06122, 0.0, 0.0, 0.02041, 1.0, 0.0, 0.5, 1.889, 7.056, 3.515, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.026, 1.026, 0.5423, 7.0, 7.0, 3.0, 0.28, 0.64, 0.66, 0.14, 0.0, 0.06, 0.25, 4.0, 0.87, 0.5, 0.36, 0.7778, 1.0, 0.881, 1.26, 11.69, 1.724, 1.0, 1.579, 0.005, 0.0, 0.03536, 0.1026, 0.1026, 0.1026, 3.0, 3.0, 0.7143, 0.7143, 0.25, 0.25, 1.015, 1.015, 0.0, 5.0, 10.0, 5.0, 120.0, 60.0, 2.0, 0.2016, 0.1855, 1.087, 0.3871, 0.03069, 0.0, 0.6, 115.0, 115.0, 3.388E-11, 25.43, 1.966, 1.058, 0.5071, 0.5071, 0.5004, 0.5004, 0.1304, 2.087, 0.4565, 0.4664, 0.0, 4.0, 9.0, 4.0, 115.0, 58.0, 1.983, 0.2427, 0.2233, 1.087, 0.466, 0.0335, 0.0, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_89.mid",16.0, 10.0, 3.0, 2.0, 24.0, 0.0, 0.2, 0.8, 2.0, 2.0, 76.0, 6.14, 74.0, 2.0, 0.18, 0.26, 1.0, 0.9231, 7.0, 7.0, 6.4, 3.423, 2.75, -0.9657, 0.1227, 1.2, 6.012, 4.987, 6.699, 0.0, 81.0, 9.0, 74.0, 2.0, 1.0, 3.694, 5.0, 1.0, 0.2041, 1.0, 0.3673, 0.1224, 0.2041, 0.4082, 0.1224, 0.102, 0.02041, 0.102, 0.08163, 0.0, 0.02041, 0.02041, 2.0, 0.0, 0.3953, 1.955, 7.909, 6.226, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.031, 1.031, 0.7015, 7.0, 7.0, 2.0, 0.32, 0.62, 0.6, 0.18, 0.0, 0.08, 0.25, 4.0, 0.96, 0.25, 0.32, 0.9375, 1.0, 1.004, 1.374, 9.642, 1.786, 1.0, 1.371, 0.015, 0.0, 0.05997, 0.01546, 0.01546, 0.01546, 0.5, 0.5, 0.375, 0.375, 0.5, 0.5, 0.1768, 0.1768, 0.0, 5.0, 10.0, 8.0, 120.0, 40.0, 3.0, 0.1949, 0.1695, 1.15, 0.3644, 0.02747, 0.0, 0.375, 115.0, 115.0, 3.364E-11, 25.3, 1.976, 0.9033, 0.5044, 0.5044, 0.5289, 0.5289, 0.1304, 2.087, 0.4983, 0.5275, 0.0, 4.0, 9.0, 7.0, 115.0, 58.0, 1.983, 0.2347, 0.1633, 1.438, 0.398, 0.02918, 0.0, 0.1429
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_90.mid",9.0, 7.0, 4.0, 2.0, 21.0, 0.04, 0.96, 0.0, 3.0, 2.0, 62.0, 4.38, 64.0, 7.0, 0.2, 0.28, 1.0, 0.7143, 3.0, 3.0, 4.714, 2.747, 2.953, -0.6746, 0.415, 0.833, 8.944, 5.319, 8.923, 0.0, 62.0, 2.0, 64.0, 4.0, 2.0, 3.959, 4.0, 3.0, 0.2857, 0.9286, 0.3265, 0.0, 0.08163, 0.3673, 0.1837, 0.2653, 0.0, 0.1429, 0.04082, 0.0, 0.0, 0.0, 2.0, 0.0, 0.4286, 1.633, 5.933, 5.632, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.7463, 0.7463, 0.1262, 3.0, 3.0, 1.0, 0.0, 0.0, 0.92, 0.2, 0.0, 0.08, 1.0, 3.0, 1.28, 1.0, 0.8, 0.15, 2.0, 0.6074, 1.383, 9.439, 2.941, 2.0, 2.904, 0.0, 0.0, 0.0, 0.04478, 0.04478, 0.04478, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 3.0, 3.0, 120.0, 40.0, 3.0, 0.3462, 0.3269, 1.059, 0.6731, 0.04523, 0.0, 1.0, 151.0, 151.5, 1.856E-11, 26.53, 1.884, 0.2751, 0.5301, 0.5301, 0.2498, 0.2498, 0.396, 1.188, 0.5069, 0.2406, 0.0, 3.0, 3.0, 3.0, 151.0, 51.0, 2.961, 0.3462, 0.3269, 1.059, 0.6731, 0.04523, 0.0, 0.3333
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_91.mid",9.0, 7.0, 5.0, 2.0, 23.0, 0.04, 0.96, 0.0, 4.0, 2.0, 62.0, 4.34, 64.0, 7.0, 0.2, 0.24, 0.8, 0.8333, 2.0, 3.0, 4.837, 2.973, 3.304, -0.6822, 0.343, 0.9261, 8.539, 5.521, 8.091, 0.0, 69.0, 9.0, 64.0, 4.0, 2.0, 3.571, 3.0, 3.0, 0.4898, 0.375, 0.2653, 0.0, 0.04082, 0.5306, 0.1633, 0.1837, 0.0, 0.102, 0.0, 0.0, 0.0, 0.02041, 1.0, 0.0, 0.4694, 2.042, 7.167, 5.615, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.7576, 0.7576, 0.3423, 3.0, 3.0, 1.0, 0.0, 0.0, 0.94, 0.2, 0.0, 0.06, 1.0, 3.0, 1.26, 1.0, 0.8, 0.175, 2.0, 0.5646, 1.382, 9.953, 3.846, 2.0, 5.398, 0.0, 0.0, 0.0, 0.04545, 0.04545, 0.04545, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 3.0, 3.0, 60.0, 120.0, 2.0, 0.3421, 0.3333, 1.026, 0.6754, 0.04523, 0.0, 0.6667, 151.0, 151.5, 1.848E-11, 26.14, 1.913, 0.6269, 0.4978, 0.4978, 0.2104, 0.2104, 0.396, 1.188, 0.499, 0.2236, 0.0, 3.0, 3.0, 3.0, 76.0, 151.0, 1.987, 0.3421, 0.3333, 1.026, 0.6754, 0.04523, 0.0, 0.6667
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_92.mid",8.0, 7.0, 4.0, 3.0, 14.0, 0.0, 0.0, 1.0, 2.0, 1.0, 83.0, 5.56, 85.0, 1.0, 0.28, 0.28, 0.9286, 0.9286, 2.0, 3.0, 3.721, 3.975, 1.606, -1.161, 1.177, 1.046, 6.408, 4.867, 5.462, 0.0, 83.0, 11.0, 88.0, 4.0, 2.0, 3.816, 4.0, 2.0, 0.4286, 0.3333, 0.3878, 0.02041, 0.04082, 0.4694, 0.2041, 0.1429, 0.0, 0.102, 0.0, 0.0, 0.06122, 0.0, 0.4286, 0.0, 0.4583, 1.412, 5.294, 4.25, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 2.347, 2.347, 0.4073, 1.0, 2.0, 2.0, 0.3, 1.0, 0.7, 0.0, 0.0, 0.0, 0.25, 0.5, 0.425, 0.5, 0.7, 0.4286, 1.0, 0.1157, -1.944, 5.145, 3.846, 2.0, 4.634, 0.05533, 0.06667, 0.01731, 0.1322, 0.1322, 0.1322, 0.1167, 0.1167, 0.1167, 0.1167, 0.1167, 0.1167, 0.0, 0.0, 0.0, 5.0, 17.0, 6.0, 120.0, 48.0, 2.5, 0.1439, 0.1288, 1.118, 0.2727, 0.02284, 0.0, 0.5, 152.0, 152.0, 7.107E-12, 8.408, 5.947, 0.468, 0.1648, 0.1648, 0.04538, 0.04538, 0.08553, 0.1974, 0.1459, 0.04011, 0.3, 4.0, 15.0, 6.0, 151.0, 101.0, 1.495, 0.1191, 0.1066, 1.118, 0.2257, 0.01986, 0.0, 0.1667
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_93.mid",9.0, 7.0, 4.0, 3.0, 26.0, 0.0, 0.02, 0.98, 2.0, 2.0, 83.0, 5.64, 83.0, 11.0, 0.32, 0.32, 0.875, 0.875, 2.0, 10.0, 4.469, 4.139, 1.562, 0.1074, 1.189, 1.229, 12.27, 4.774, 5.665, 0.0, 85.0, 1.0, 83.0, 11.0, 2.0, 3.918, 1.0, 1.0, 0.5306, 0.1538, 0.2857, 0.04082, 0.08163, 0.6122, 0.1224, 0.06122, 0.0, 0.06122, 0.0, 0.0, 0.06122, 0.04082, 1.0, 0.0, 0.5106, 1.306, 5.278, 3.732, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 2.201, 2.201, 0.2067, 3.0, 3.0, 2.0, 0.3, 0.98, 0.7, 0.0, 0.0, 0.0, 0.25, 1.0, 0.435, 0.5, 0.68, 0.4412, 1.0, 0.1412, -1.382, 10.17, 3.846, 2.0, 3.211, 0.05533, 0.06667, 0.01731, 0.1643, 0.1643, 0.1643, 0.2833, 0.2833, 0.2833, 0.2833, 0.2833, 0.2833, 0.0, 0.0, 0.0, 5.0, 11.0, 7.0, 120.0, 80.0, 1.5, 0.1613, 0.1492, 1.081, 0.3105, 0.0249, 0.0, 0.4286, 152.0, 152.0, 7.419E-12, 8.967, 5.576, 0.463, 0.1757, 0.1757, 0.05249, 0.05249, 0.08553, 0.3947, 0.1499, 0.05294, 0.3, 5.0, 13.0, 9.0, 151.0, 101.0, 1.495, 0.1338, 0.1237, 1.081, 0.2575, 0.02248, 0.0, 0.1111
