,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\getready.mid",0.2724
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Jungle_Strike.mid",0.6186
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\tombs_and_treasure_title.mid",0.7638
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\dl_title.mid",0.1666
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\phantasystar3openingbyHA.mid",0.84
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Out_To_Lunch_title.mid",0.2689
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\vb2.mid",0.7446
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\BC_Title.mid",0.2482
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\rc_titlescreen.mid",0.2419
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Alcahest_-_TitleScreen.mid",0.3212
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\megaman2.mid",0.3602
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\bt-theme.mid",0.1304
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\icehocky.mid",1.037
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\1999.mid",0.1663
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\sk_sg_20.mid",0.1895
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mdctheme.mid",0.179
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\dq4_title.mid",0.1861
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\CBmoonlightv2.mid",0.2815
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\power1.mid",0.159
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\dctitle.mid",0.5727
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MM3_Title-KM.mid",0.2482
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\airwolf_title.mid",0.1886
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Mtrd_Title-KM.mid",0.635
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Ffatitle.mid",0.503
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\TrS1-Title.mid",0.1368
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\PebbleBeach-Title.mid",0.3602
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\The_Immortal_Title_Theme,_Piano_with_Variations.mid",0.269
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\bkidttle.mid",0.1444
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\anstyanintro.mid",0.3054
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\TitleScreen (2).mid",0.2153
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SOM1.mid",0.8131
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\st_title.mid",0.1255
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Tenkai-Title_V2.mid",0.2247
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\G_GBMegaman1_TitleScreen.mid",0.602
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\warioland3titlescreen.mid",0.2076
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\_Title_SBL4mb.mid",0.2641
