,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_1.mid",0.02927
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_10.mid",0.02927
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_11.mid",0.02167
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_12.mid",0.02458
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_13.mid",0.02302
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_14.mid",0.02573
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_15.mid",0.02125
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_16.mid",0.02375
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_2.mid",0.02802
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_3.mid",0.02448
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_4.mid",0.02635
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_5.mid",0.02354
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_6.mid",0.02052
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_7.mid",0.0274
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_8.mid",0.02406
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch100_9.mid",0.02219
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch1024_1.mid",0.1332
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch1024_10.mid",0.1181
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run4\run4_epoch1024_11.mid",0.1227
