,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_1.mid",0.1001
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_10.mid",0.09448
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_11.mid",0.09094
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_12.mid",0.08948
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_13.mid",0.07896
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_14.mid",0.1016
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_15.mid",0.08594
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_16.mid",0.09354
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_2.mid",0.08615
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_3.mid",0.08615
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_4.mid",0.08396
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_5.mid",0.08365
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_6.mid",0.08813
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_7.mid",0.09292
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_8.mid",0.06708
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_9.mid",0.1068
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_1.mid",0.07229
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_10.mid",0.07354
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_11.mid",0.06187
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_12.mid",0.06198
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_13.mid",0.05604
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_14.mid",0.07219
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_15.mid",0.05687
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_16.mid",0.06729
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_2.mid",0.06656
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_3.mid",0.05802
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_4.mid",0.05198
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_5.mid",0.0625
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_6.mid",0.07208
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_7.mid",0.05948
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_8.mid",0.06344
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2500_9.mid",0.06719
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_1.mid",0.14
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_10.mid",0.1329
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_11.mid",0.1307
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_12.mid",0.1329
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_13.mid",0.1239
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_14.mid",0.143
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_15.mid",0.1337
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_16.mid",0.1409
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_2.mid",0.1443
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_3.mid",0.1439
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_4.mid",0.1346
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_5.mid",0.1365
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_6.mid",0.1305
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_7.mid",0.1303
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_8.mid",0.1282
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3000_9.mid",0.1379
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_1.mid",0.08719
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_10.mid",0.09146
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_11.mid",0.08542
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_12.mid",0.09115
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_13.mid",0.09229
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_14.mid",0.08615
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_15.mid",0.1005
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_16.mid",0.08906
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_2.mid",0.08802
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_3.mid",0.09146
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_4.mid",0.09104
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_5.mid",0.1084
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_6.mid",0.09365
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_7.mid",0.0975
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_8.mid",0.09344
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch300_9.mid",0.09792
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_1.mid",0.1244
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_10.mid",0.1316
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_11.mid",0.1282
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_12.mid",0.1306
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_13.mid",0.1177
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_14.mid",0.119
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_15.mid",0.1288
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_16.mid",0.1178
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_2.mid",0.1324
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_3.mid",0.1211
